precipitaciones,velocidad_media_viento,velocidad_maxima_viento,direccion_media_viento,direccion_maxima_viento,humedad_relativa,insolacion,presion,temperatura_suelo,temperatura,temperatura_minima,temperatura_maxima,visibilidad,recorrido_viento,nieve,energia_generada
1.0,3.9,0,65.5,0,92.7,0,0,68.0,68.0,70.8,65.4,7.3,0.0,0.0,7678
0.14,7.7,0,146.82,0,86.84,0,0,70.5,70.5,78.4,65.1,9.0,0.0,0.0,20726
0.15,8.5,0,97.83,0,86.11,0,0,71.2,71.2,78.9,64.7,7.7,0.0,0.0,19093
0.12,6.7,0,144.13,0,87.94,0,0,71.1,71.1,80.7,65.4,9.4,0.0,0.0,16339
0.2,4.9,0,210.43,0,90.67,0,0,71.5,71.5,77.2,67.9,9.5,0.0,0.0,10162
0.0,6.0,0,167.83,0,80.8,0,0,73.9,73.9,85.6,65.1,9.9,0.0,0.0,24085
0.11,4.8,0,132.17,0,88.0,0,0,73.3,73.3,85.6,66.6,7.0,0.0,0.0,19330
0.01,9.5,0,135.65,0,85.98,0,0,74.9,74.9,83.5,68.5,9.9,0.0,0.0,19027
0.19,10.7,0,218.65,0,84.14,0,0,74.7,74.7,82.7,69.4,9.6,0.0,0.0,16330
0.01,6.2,0,262.09,0,80.33,0,0,74.2,74.2,83.1,67.4,9.9,0.0,0.0,19685
0.73,6.3,0,135.0,0,92.2,0,0,71.6,71.6,78.5,66.9,9.2,0.0,0.0,16115
0.27,6.5,0,113.48,0,88.07,0,0,75.0,75.0,81.7,69.9,8.9,0.0,0.0,18962
0.0,5.1,0,126.96,0,82.46,0,0,76.6,76.6,88.5,68.7,8.3,0.0,0.0,25635
0.0,7.2,0,171.3,0,76.85,0,0,75.4,75.4,88.5,64.6,9.1,0.0,0.0,26012
0.0,7.2,0,293.91,0,79.96,0,0,75.4,75.4,84.1,68.5,9.9,0.0,0.0,25272
0.0,9.3,0,309.17,0,67.57,0,0,70.2,70.2,79.9,60.3,9.9,0.0,0.0,21275
0.0,4.9,0,160.21,0,78.41,0,0,64.5,64.5,77.3,53.1,9.7,0.0,0.0,26965
0.0,5.9,0,98.1,0,79.39,0,0,65.6,65.6,79.4,52.8,9.1,0.0,0.0,26796
0.0,4.8,0,86.25,0,79.19,0,0,66.4,66.4,81.3,54.5,8.6,0.0,0.0,27307
0.0,5.0,0,100.0,0,84.24,0,0,69.0,69.0,77.1,60.9,9.9,0.0,0.0,10593
0.12,5.4,0,147.08,0,84.94,0,0,73.6,73.6,82.0,68.0,9.7,0.0,0.0,15596
0.0,5.5,0,175.09,0,84.68,0,0,73.7,73.7,82.3,67.3,8.5,0.0,0.0,25019
1.45,4.6,0,99.05,0,96.07,0,0,71.4,71.4,75.6,70.0,8.6,0.0,0.0,5941
0.15,5.8,0,110.45,0,90.87,0,0,71.0,71.0,77.9,67.5,8.0,0.0,0.0,15189
0.33,5.7,0,210.56,0,90.19,0,0,70.6,70.6,78.7,66.0,9.3,0.0,0.0,13390
0.0,6.3,0,98.89,0,80.77,0,0,66.2,66.2,71.2,60.8,9.9,0.0,0.0,16472
0.01,6.5,0,100.87,0,81.61,0,0,63.7,63.7,71.0,58.2,9.9,0.0,0.0,22088
2.63,5.4,0,211.19,0,96.42,0,0,64.5,64.5,67.7,61.7,4.1,0.0,0.0,3725
0.0,11.5,0,343.75,0,79.23,0,0,65.9,65.9,72.3,59.8,7.6,0.0,0.0,20677
0.0,5.6,0,112.86,0,76.41,0,0,59.3,59.3,64.2,55.4,9.9,0.0,0.0,13694
0.0,5.5,0,50.0,0,62.94,0,0,55.3,55.3,65.8,46.8,9.9,0.0,0.0,27357
0.0,6.6,0,78.89,0,70.22,0,0,54.0,54.0,65.0,45.9,9.9,45.3,0.0,25312
0.0,8.3,0,192.17,0,77.16,0,0,54.2,54.2,69.0,42.0,9.3,0.0,0.0,24283
